Collection,Name,GeneSymbol,Entrez
T effector,CD8 T effector,CD8A,925
T effector,CD8 T effector,CXCL10,3627
T effector,CD8 T effector,CXCL9,4283
T effector,CD8 T effector,GZMA,3001
T effector,CD8 T effector,GZMB,3002
T effector,CD8 T effector,IFNG,3458
T effector,CD8 T effector,PRF1,5551
T effector,CD8 T effector,TBX21,30009
TBRS,Calon Ma-TBRS,A2ML1,144568
TBRS,Calon Ma-TBRS,AACSP1,729522
TBRS,Calon Ma-TBRS,ABCC3,8714
TBRS,Calon Ma-TBRS,ABCD1,215
TBRS,Calon Ma-TBRS,ABCG1,9619
TBRS,Calon Ma-TBRS,ABCG2,9429
TBRS,Calon Ma-TBRS,ABHD5,51099
TBRS,Calon Ma-TBRS,ABHD8,79575
TBRS,Calon Ma-TBRS,ABLIM3,22885
TBRS,Calon Ma-TBRS,ACADVL,37
TBRS,Calon Ma-TBRS,ACER3,55331
TBRS,Calon Ma-TBRS,ACKR3,57007
TBRS,Calon Ma-TBRS,ACTN1,87
TBRS,Calon Ma-TBRS,ACVR1B,91
TBRS,Calon Ma-TBRS,ADAM12,8038
TBRS,Calon Ma-TBRS,ADAM17,6868
TBRS,Calon Ma-TBRS,ADAM3A,1587
TBRS,Calon Ma-TBRS,ADAM8,101
TBRS,Calon Ma-TBRS,ADAM9,8754
TBRS,Calon Ma-TBRS,ADAMTS18,170692
TBRS,Calon Ma-TBRS,ADAMTS19,171019
TBRS,Calon Ma-TBRS,ADAMTS2,9509
TBRS,Calon Ma-TBRS,ADARB1,104
TBRS,Calon Ma-TBRS,ADCY2,108
TBRS,Calon Ma-TBRS,ADGRA3,166647
TBRS,Calon Ma-TBRS,ADGRF1,266977
TBRS,Calon Ma-TBRS,ADM,133
TBRS,Calon Ma-TBRS,ADORA2A-AS1,646023
TBRS,Calon Ma-TBRS,AGAP3,116988
TBRS,Calon Ma-TBRS,AGMAT,79814
TBRS,Calon Ma-TBRS,AGPAT2,10555
TBRS,Calon Ma-TBRS,AGRP,181
TBRS,Calon Ma-TBRS,AHNAK2,113146
TBRS,Calon Ma-TBRS,AICDA,57379
TBRS,Calon Ma-TBRS,AK1,203
TBRS,Calon Ma-TBRS,AK7,122481
TBRS,Calon Ma-TBRS,AKAP2,11217
TBRS,Calon Ma-TBRS,AKR1C1,1645
TBRS,Calon Ma-TBRS,AKR1C2,1646
TBRS,Calon Ma-TBRS,AKR1C3,8644
TBRS,Calon Ma-TBRS,ALDH1A1,216
TBRS,Calon Ma-TBRS,ALDH2,217
TBRS,Calon Ma-TBRS,ALDOB,229
TBRS,Calon Ma-TBRS,ALK,238
TBRS,Calon Ma-TBRS,ALOX5,240
TBRS,Calon Ma-TBRS,ALX4,60529
TBRS,Calon Ma-TBRS,AMBRA1,55626
TBRS,Calon Ma-TBRS,AMIGO2,347902
TBRS,Calon Ma-TBRS,AMPH,273
TBRS,Calon Ma-TBRS,ANG,283
TBRS,Calon Ma-TBRS,ANGPT2,285
TBRS,Calon Ma-TBRS,ANK1,286
TBRS,Calon Ma-TBRS,ANKRD29,147463
TBRS,Calon Ma-TBRS,ANO4,121601
TBRS,Calon Ma-TBRS,ANP32C,23520
TBRS,Calon Ma-TBRS,APBB1IP,54518
TBRS,Calon Ma-TBRS,APCDD1,147495
TBRS,Calon Ma-TBRS,APCDD1L-AS1,149773
TBRS,Calon Ma-TBRS,APOA2,336
TBRS,Calon Ma-TBRS,APOBR,55911
TBRS,Calon Ma-TBRS,APOC1,341
TBRS,Calon Ma-TBRS,APOC2,344
TBRS,Calon Ma-TBRS,APOC4,346
TBRS,Calon Ma-TBRS,APOE,348
TBRS,Calon Ma-TBRS,APOL6,80830
TBRS,Calon Ma-TBRS,AQP1,358
TBRS,Calon Ma-TBRS,AQP11,282679
TBRS,Calon Ma-TBRS,AQP4-AS1,147429
TBRS,Calon Ma-TBRS,AQP9,366
TBRS,Calon Ma-TBRS,AREG,374
TBRS,Calon Ma-TBRS,AREL1,9870
TBRS,Calon Ma-TBRS,ARFGEF2,10564
TBRS,Calon Ma-TBRS,ARFGEF3,57221
TBRS,Calon Ma-TBRS,ARHGAP11A,9824
TBRS,Calon Ma-TBRS,ARHGEF19,128272
TBRS,Calon Ma-TBRS,ARID3B,10620
TBRS,Calon Ma-TBRS,ARID5B,84159
TBRS,Calon Ma-TBRS,ARL4A,10124
TBRS,Calon Ma-TBRS,ARL5A,26225
TBRS,Calon Ma-TBRS,ARL9,132946
TBRS,Calon Ma-TBRS,ARPP21,10777
TBRS,Calon Ma-TBRS,ARSG,22901
TBRS,Calon Ma-TBRS,ASB15,142685
TBRS,Calon Ma-TBRS,ASF1B,55723
TBRS,Calon Ma-TBRS,ASGR1,432
TBRS,Calon Ma-TBRS,ASIP,434
TBRS,Calon Ma-TBRS,ASRGL1,80150
TBRS,Calon Ma-TBRS,ATOH8,84913
TBRS,Calon Ma-TBRS,ATP10A,57194
TBRS,Calon Ma-TBRS,ATP11B,23200
TBRS,Calon Ma-TBRS,ATP13A3,79572
TBRS,Calon Ma-TBRS,ATP23,91419
TBRS,Calon Ma-TBRS,ATP2B2,491
TBRS,Calon Ma-TBRS,ATP6V0A2,23545
TBRS,Calon Ma-TBRS,ATP8B1,5205
TBRS,Calon Ma-TBRS,ATP9A,10079
TBRS,Calon Ma-TBRS,ATP9B,374868
TBRS,Calon Ma-TBRS,AXL,558
TBRS,Calon Ma-TBRS,AZI2,64343
TBRS,Calon Ma-TBRS,AZIN2,113451
TBRS,Calon Ma-TBRS,B3GALNT1,8706
