Collection,Name,GeneSymbol,Entrez
TBRS,Calon Ma-TBRS,B3GNT5,84002
TBRS,Calon Ma-TBRS,B3GNT7,93010
TBRS,Calon Ma-TBRS,BACH2,60468
TBRS,Calon Ma-TBRS,BCAS4,55653
TBRS,Calon Ma-TBRS,BCL2L2,599
TBRS,Calon Ma-TBRS,BEAN1,146227
TBRS,Calon Ma-TBRS,BEST1,7439
TBRS,Calon Ma-TBRS,BIN2,51411
TBRS,Calon Ma-TBRS,BLID,414899
TBRS,Calon Ma-TBRS,BLM,641
TBRS,Calon Ma-TBRS,BLMH,642
TBRS,Calon Ma-TBRS,BLOC1S2,282991
TBRS,Calon Ma-TBRS,BMPR1A,657
TBRS,Calon Ma-TBRS,BMX,660
TBRS,Calon Ma-TBRS,BNC2,54796
TBRS,Calon Ma-TBRS,BOLL,66037
TBRS,Calon Ma-TBRS,BPY2,9083
TBRS,Calon Ma-TBRS,BRSK1,84446
TBRS,Calon Ma-TBRS,BSND,7809
TBRS,Calon Ma-TBRS,BTBD11,121551
TBRS,Calon Ma-TBRS,BTBD19,149478
TBRS,Calon Ma-TBRS,BTC,685
TBRS,Calon Ma-TBRS,BTG1,694
TBRS,Calon Ma-TBRS,BTNL8,79908
TBRS,Calon Ma-TBRS,BUB1,699
TBRS,Calon Ma-TBRS,C10orf35,219738
TBRS,Calon Ma-TBRS,C10orf95,79946
TBRS,Calon Ma-TBRS,C11orf63,79864
TBRS,Calon Ma-TBRS,C12orf49,79794
TBRS,Calon Ma-TBRS,C14orf142,84520
TBRS,Calon Ma-TBRS,C15orf48,84419
TBRS,Calon Ma-TBRS,C15orf52,388115
TBRS,Calon Ma-TBRS,C15orf62,643338
TBRS,Calon Ma-TBRS,C17orf99,100141515
TBRS,Calon Ma-TBRS,C18orf8,29919
TBRS,Calon Ma-TBRS,C1orf106,55765
TBRS,Calon Ma-TBRS,C1orf204,284677
TBRS,Calon Ma-TBRS,C1orf64,149563
TBRS,Calon Ma-TBRS,C2orf40,84417
TBRS,Calon Ma-TBRS,C3,718
TBRS,Calon Ma-TBRS,C3orf80,401097
TBRS,Calon Ma-TBRS,C5orf24,134553
TBRS,Calon Ma-TBRS,C5orf56,441108
TBRS,Calon Ma-TBRS,C9orf9,11092
TBRS,Calon Ma-TBRS,CACNA1E,777
TBRS,Calon Ma-TBRS,CACNA1G,8913
TBRS,Calon Ma-TBRS,CACNA2D1,781
TBRS,Calon Ma-TBRS,CADM1,23705
TBRS,Calon Ma-TBRS,CADM2,253559
TBRS,Calon Ma-TBRS,CADM4,199731
TBRS,Calon Ma-TBRS,CALHM3,119395
TBRS,Calon Ma-TBRS,CAMK2N1,55450
TBRS,Calon Ma-TBRS,CAMK4,814
TBRS,Calon Ma-TBRS,CAMP,820
TBRS,Calon Ma-TBRS,CAMSAP3,57662
TBRS,Calon Ma-TBRS,CAPN5,726
TBRS,Calon Ma-TBRS,CAPN9,10753
TBRS,Calon Ma-TBRS,CARD11,84433
TBRS,Calon Ma-TBRS,CARNS1,57571
TBRS,Calon Ma-TBRS,CASZ1,54897
TBRS,Calon Ma-TBRS,CATIP-AS1,101928513
TBRS,Calon Ma-TBRS,CCDC114,93233
TBRS,Calon Ma-TBRS,CCDC125,202243
TBRS,Calon Ma-TBRS,CCDC129,223075
TBRS,Calon Ma-TBRS,CCDC157,550631
TBRS,Calon Ma-TBRS,CCDC177,56936
TBRS,Calon Ma-TBRS,CCDC40,55036
TBRS,Calon Ma-TBRS,CCDC63,160762
TBRS,Calon Ma-TBRS,CCDC67,159989
TBRS,Calon Ma-TBRS,CCDC68,80323
TBRS,Calon Ma-TBRS,CCDC88A,55704
TBRS,Calon Ma-TBRS,CCL7,6354
TBRS,Calon Ma-TBRS,CCNA1,8900
TBRS,Calon Ma-TBRS,CCR7,1236
TBRS,Calon Ma-TBRS,CD109,135228
TBRS,Calon Ma-TBRS,CD151,977
TBRS,Calon Ma-TBRS,CD1D,912
TBRS,Calon Ma-TBRS,CD300LF,146722
TBRS,Calon Ma-TBRS,CD58,965
TBRS,Calon Ma-TBRS,CDC25A,993
TBRS,Calon Ma-TBRS,CDH1,999
TBRS,Calon Ma-TBRS,CDH23,64072
TBRS,Calon Ma-TBRS,CDK1,983
TBRS,Calon Ma-TBRS,CDK14,5218
TBRS,Calon Ma-TBRS,CDK3,1018
TBRS,Calon Ma-TBRS,CDK5RAP2,55755
TBRS,Calon Ma-TBRS,CDKN1C,1028
TBRS,Calon Ma-TBRS,CDS1,1040
TBRS,Calon Ma-TBRS,CEACAM21,90273
TBRS,Calon Ma-TBRS,CEACAM7,1087
TBRS,Calon Ma-TBRS,CEBPA,1050
TBRS,Calon Ma-TBRS,CELF6,60677
TBRS,Calon Ma-TBRS,CELSR2,1952
TBRS,Calon Ma-TBRS,CENPA,1058
TBRS,Calon Ma-TBRS,CEP170,9859
TBRS,Calon Ma-TBRS,CEP170P1,645455
TBRS,Calon Ma-TBRS,CEP57L1,285753
TBRS,Calon Ma-TBRS,CEP89,84902
TBRS,Calon Ma-TBRS,CES1,1066
TBRS,Calon Ma-TBRS,CFAP157,286207
TBRS,Calon Ma-TBRS,CFAP44,55779
TBRS,Calon Ma-TBRS,CHD3,1107
TBRS,Calon Ma-TBRS,CHD9,80205
TBRS,Calon Ma-TBRS,CHDH,55349
TBRS,Calon Ma-TBRS,CHERP,10523
TBRS,Calon Ma-TBRS,CHGB,1114
TBRS,Calon Ma-TBRS,CHRNA7,1139
TBRS,Calon Ma-TBRS,CIT,11113
TBRS,Calon Ma-TBRS,CKLF,51192
TBRS,Calon Ma-TBRS,CLCN4,1183
TBRS,Calon Ma-TBRS,CLDN11,5010
TBRS,Calon Ma-TBRS,CLDN12,9069
TBRS,Calon Ma-TBRS,CLDN23,137075
TBRS,Calon Ma-TBRS,CLDN6,9074
TBRS,Calon Ma-TBRS,CLDND2,125875
TBRS,Calon Ma-TBRS,CLEC5A,23601
TBRS,Calon Ma-TBRS,CLIP3,25999
TBRS,Calon Ma-TBRS,CLPS,1208
TBRS,Calon Ma-TBRS,CLVS1,157807
TBRS,Calon Ma-TBRS,CLYBL-AS2,100874063
TBRS,Calon Ma-TBRS,CMTM1,113540
TBRS,Calon Ma-TBRS,CNBD1,168975
TBRS,Calon Ma-TBRS,CNIH4,29097
TBRS,Calon Ma-TBRS,CNKSR3,154043
TBRS,Calon Ma-TBRS,CNR1,1268
TBRS,Calon Ma-TBRS,CNTN5,53942
TBRS,Calon Ma-TBRS,CNTNAP2,26047
TBRS,Calon Ma-TBRS,CNTNAP3,79937
TBRS,Calon Ma-TBRS,CNTNAP3P2,643827
TBRS,Calon Ma-TBRS,COL22A1,169044
TBRS,Calon Ma-TBRS,COL8A2,1296
TBRS,Calon Ma-TBRS,COQ2,27235
TBRS,Calon Ma-TBRS,COX15,1355
TBRS,Calon Ma-TBRS,CPD,1362
TBRS,Calon Ma-TBRS,CPE,1363
TBRS,Calon Ma-TBRS,CPEB3,22849
TBRS,Calon Ma-TBRS,CRMP1,1400
TBRS,Calon Ma-TBRS,CRNDE,643911
TBRS,Calon Ma-TBRS,CRTAC1,55118
TBRS,Calon Ma-TBRS,CRX,1406
TBRS,Calon Ma-TBRS,CSN1S1,1446
TBRS,Calon Ma-TBRS,CXCL14,9547
TBRS,Calon Ma-TBRS,CXCR4,7852
TBRS,Calon Ma-TBRS,CXCR6,10663
TBRS,Calon Ma-TBRS,CXXC4,80319
TBRS,Calon Ma-TBRS,CYB5A,1528
TBRS,Calon Ma-TBRS,CYGB,114757
TBRS,Calon Ma-TBRS,CYLD,1540
TBRS,Calon Ma-TBRS,CYP19A1,1588
TBRS,Calon Ma-TBRS,CYP27A1,1593
TBRS,Calon Ma-TBRS,CYP2F1,1572
TBRS,Calon Ma-TBRS,CYP2W1,54905
TBRS,Calon Ma-TBRS,CYP4Z2P,163720
TBRS,Calon Ma-TBRS,CYTH3,9265
TBRS,Calon Ma-TBRS,DAB2IP,153090
TBRS,Calon Ma-TBRS,DAPK1,1612
TBRS,Calon Ma-TBRS,DAZ2,57055
TBRS,Calon Ma-TBRS,DBF4B,80174
TBRS,Calon Ma-TBRS,DCLK1,9201
TBRS,Calon Ma-TBRS,DCSTAMP,81501
TBRS,Calon Ma-TBRS,DCUN1D3,123879
TBRS,Calon Ma-TBRS,DDA1,79016
TBRS,Calon Ma-TBRS,DDHD1,80821
TBRS,Calon Ma-TBRS,DDX28,55794
TBRS,Calon Ma-TBRS,DDX3X,1654
TBRS,Calon Ma-TBRS,DDX52,11056
TBRS,Calon Ma-TBRS,1-Dec,50514
TBRS,Calon Ma-TBRS,DEFB124,245937
TBRS,Calon Ma-TBRS,DENND1B,163486
TBRS,Calon Ma-TBRS,DENND3,22898
TBRS,Calon Ma-TBRS,DENND5B,160518
TBRS,Calon Ma-TBRS,DENR,8562
TBRS,Calon Ma-TBRS,DERL3,91319
TBRS,Calon Ma-TBRS,DFNB31,25861
TBRS,Calon Ma-TBRS,DGAT2,84649
TBRS,Calon Ma-TBRS,DGCR6L,85359
TBRS,Calon Ma-TBRS,DHDH,27294
TBRS,Calon Ma-TBRS,DHX58,79132
TBRS,Calon Ma-TBRS,DIO3,1735
TBRS,Calon Ma-TBRS,DIO3OS,64150
TBRS,Calon Ma-TBRS,DIRAS2,54769
TBRS,Calon Ma-TBRS,DISP1,84976
TBRS,Calon Ma-TBRS,DKK1,22943
TBRS,Calon Ma-TBRS,DLC1,10395
TBRS,Calon Ma-TBRS,DMD,1756
TBRS,Calon Ma-TBRS,DNAJC6,9829
TBRS,Calon Ma-TBRS,DNAL1,83544
TBRS,Calon Ma-TBRS,DNASE1,1773
TBRS,Calon Ma-TBRS,DNASE2,1777
TBRS,Calon Ma-TBRS,DNM3,26052
TBRS,Calon Ma-TBRS,DNMT3B,1789
TBRS,Calon Ma-TBRS,DOCK4,9732
TBRS,Calon Ma-TBRS,DOCK9,23348
TBRS,Calon Ma-TBRS,DPH3,285381
TBRS,Calon Ma-TBRS,DPH6-AS1,100507466
TBRS,Calon Ma-TBRS,DPP10-AS1,389023
TBRS,Calon Ma-TBRS,DPP4,1803
TBRS,Calon Ma-TBRS,DPY19L1,23333
TBRS,Calon Ma-TBRS,DPYSL3,1809
TBRS,Calon Ma-TBRS,DSTN,11034
TBRS,Calon Ma-TBRS,DUSP1,1843
TBRS,Calon Ma-TBRS,DUSP16,80824
TBRS,Calon Ma-TBRS,DYNC1H1,1778
TBRS,Calon Ma-TBRS,DYX1C1,161582
TBRS,Calon Ma-TBRS,EBF1,1879
TBRS,Calon Ma-TBRS,ECE1,1889
TBRS,Calon Ma-TBRS,EDN3,1908
TBRS,Calon Ma-TBRS,EDNRB,1910
TBRS,Calon Ma-TBRS,EDNRB-AS1,100505518
TBRS,Calon Ma-TBRS,EFCAB5,374786
TBRS,Calon Ma-TBRS,EHD2,30846
TBRS,Calon Ma-TBRS,EHF,26298
TBRS,Calon Ma-TBRS,ELK3,2004
TBRS,Calon Ma-TBRS,ELL2,22936
TBRS,Calon Ma-TBRS,EMC3,55831
TBRS,Calon Ma-TBRS,EML4,27436
TBRS,Calon Ma-TBRS,EN1,2019
TBRS,Calon Ma-TBRS,ENG,2022
TBRS,Calon Ma-TBRS,ENO2,2026
TBRS,Calon Ma-TBRS,ENO3,2027
TBRS,Calon Ma-TBRS,ENOPH1,58478
TBRS,Calon Ma-TBRS,EPAS1,2034
TBRS,Calon Ma-TBRS,EPB41,2035
TBRS,Calon Ma-TBRS,EPB41L5,57669
TBRS,Calon Ma-TBRS,ERBB3,2065
TBRS,Calon Ma-TBRS,ERGIC1,57222
TBRS,Calon Ma-TBRS,ERLIN1,10613
TBRS,Calon Ma-TBRS,ERMP1,79956
TBRS,Calon Ma-TBRS,ERN2,10595
TBRS,Calon Ma-TBRS,ERRFI1,54206
TBRS,Calon Ma-TBRS,ESR1,2099
TBRS,Calon Ma-TBRS,ESR2,2100
TBRS,Calon Ma-TBRS,EVX1,2128
TBRS,Calon Ma-TBRS,EWSR1,2130
TBRS,Calon Ma-TBRS,EYA2,2139
TBRS,Calon Ma-TBRS,FABP6,2172
TBRS,Calon Ma-TBRS,FADS3,3995
TBRS,Calon Ma-TBRS,FAM110B,90362
TBRS,Calon Ma-TBRS,FAM178B,51252
TBRS,Calon Ma-TBRS,FAM195A,84331
TBRS,Calon Ma-TBRS,FAM27C,100132948
TBRS,Calon Ma-TBRS,FAM27E3,100131997
TBRS,Calon Ma-TBRS,FAM46C,54855
TBRS,Calon Ma-TBRS,FAM65C,140876
TBRS,Calon Ma-TBRS,FAM69A,388650
TBRS,Calon Ma-TBRS,FAM71B,153745
TBRS,Calon Ma-TBRS,FAM71F2,346653
TBRS,Calon Ma-TBRS,FAM84A,151354
TBRS,Calon Ma-TBRS,FAM84B,157638
TBRS,Calon Ma-TBRS,FAM89A,375061
TBRS,Calon Ma-TBRS,FANCC,2176
TBRS,Calon Ma-TBRS,FANCI,55215
TBRS,Calon Ma-TBRS,FARP1,10160
TBRS,Calon Ma-TBRS,FBLN5,10516
TBRS,Calon Ma-TBRS,FBP1,2203
TBRS,Calon Ma-TBRS,FBXL17,64839
TBRS,Calon Ma-TBRS,FBXO9,26268
TBRS,Calon Ma-TBRS,FBXW4P1,26226
TBRS,Calon Ma-TBRS,FCGR1A,2209
TBRS,Calon Ma-TBRS,FCGR1B,2210
TBRS,Calon Ma-TBRS,FCGR3B,2215
TBRS,Calon Ma-TBRS,FCRL1,115350
TBRS,Calon Ma-TBRS,FDX1,2230
TBRS,Calon Ma-TBRS,FEM1A,55527
TBRS,Calon Ma-TBRS,FER1L4,80307
TBRS,Calon Ma-TBRS,FFAR1,2864
TBRS,Calon Ma-TBRS,FFAR4,338557
TBRS,Calon Ma-TBRS,FGD6,55785
TBRS,Calon Ma-TBRS,FGF7,2252
TBRS,Calon Ma-TBRS,FGFRL1,53834
TBRS,Calon Ma-TBRS,FHAD1,114827
TBRS,Calon Ma-TBRS,FHL3,2275
TBRS,Calon Ma-TBRS,FKBP15,23307
TBRS,Calon Ma-TBRS,FKBP1B,2281
TBRS,Calon Ma-TBRS,FKBP5,2289
TBRS,Calon Ma-TBRS,FKRP,79147
TBRS,Calon Ma-TBRS,FLCN,201163
TBRS,Calon Ma-TBRS,FLJ37453,729614
TBRS,Calon Ma-TBRS,FLJ90680,400926
TBRS,Calon Ma-TBRS,FLRT2,23768
TBRS,Calon Ma-TBRS,FMNL2,114793
TBRS,Calon Ma-TBRS,FMNL3,91010
TBRS,Calon Ma-TBRS,FNBP1L,54874
TBRS,Calon Ma-TBRS,FNDC3B,64778
TBRS,Calon Ma-TBRS,FNDC5,252995
TBRS,Calon Ma-TBRS,FOS,2353
TBRS,Calon Ma-TBRS,FOXD4,2298
TBRS,Calon Ma-TBRS,FOXG1,2290
TBRS,Calon Ma-TBRS,FOXP1-AS1,104502416
TBRS,Calon Ma-TBRS,FOXQ1,94234
TBRS,Calon Ma-TBRS,FPR1,2357
TBRS,Calon Ma-TBRS,FPR3,2359
TBRS,Calon Ma-TBRS,FRY,10129
TBRS,Calon Ma-TBRS,FST,10468
TBRS,Calon Ma-TBRS,FSTL5,56884
TBRS,Calon Ma-TBRS,FTCD,10841
TBRS,Calon Ma-TBRS,FURIN,5045
TBRS,Calon Ma-TBRS,FUT6,2528
TBRS,Calon Ma-TBRS,FZD10,11211
TBRS,Calon Ma-TBRS,FZD4,8322
TBRS,Calon Ma-TBRS,FZD7,8324
TBRS,Calon Ma-TBRS,G0S2,50486
TBRS,Calon Ma-TBRS,GABARAPL1,23710
TBRS,Calon Ma-TBRS,GABARAPL3,23766
TBRS,Calon Ma-TBRS,GABRA1,2554
TBRS,Calon Ma-TBRS,GAD2,2572
TBRS,Calon Ma-TBRS,GAL3ST4,79690
TBRS,Calon Ma-TBRS,GALNT2,2590
TBRS,Calon Ma-TBRS,GAPT,202309
TBRS,Calon Ma-TBRS,GAS2L1,10634
TBRS,Calon Ma-TBRS,GATA2-AS1,101927167
TBRS,Calon Ma-TBRS,GATA4,2626
TBRS,Calon Ma-TBRS,GATSL3,652968
TBRS,Calon Ma-TBRS,GBP6,163351
TBRS,Calon Ma-TBRS,GCG,2641
TBRS,Calon Ma-TBRS,GCHFR,2644
TBRS,Calon Ma-TBRS,GCSAML,148823
TBRS,Calon Ma-TBRS,GDF5,8200
TBRS,Calon Ma-TBRS,GGT7,2686
TBRS,Calon Ma-TBRS,GH1,2688
TBRS,Calon Ma-TBRS,GKAP1,80318
TBRS,Calon Ma-TBRS,GLCCI1,113263
TBRS,Calon Ma-TBRS,GLDN,342035
TBRS,Calon Ma-TBRS,GLI3,2737
TBRS,Calon Ma-TBRS,GLRX,2745
TBRS,Calon Ma-TBRS,GLTPD2,388323
TBRS,Calon Ma-TBRS,GLTSCR2,29997
TBRS,Calon Ma-TBRS,GLUL,2752
TBRS,Calon Ma-TBRS,GNA14,9630
TBRS,Calon Ma-TBRS,GNA14-AS1,101927422
TBRS,Calon Ma-TBRS,GNB4,59345
TBRS,Calon Ma-TBRS,GNG11,2791
TBRS,Calon Ma-TBRS,GNRHR,2798
TBRS,Calon Ma-TBRS,GOLGA2P10,80154
TBRS,Calon Ma-TBRS,GOLGA8IP,283796
TBRS,Calon Ma-TBRS,GOLGA8N,643699
TBRS,Calon Ma-TBRS,GOLT1A,127845
TBRS,Calon Ma-TBRS,GPC1,2817
TBRS,Calon Ma-TBRS,GPCPD1,56261
TBRS,Calon Ma-TBRS,GPD1,2819
TBRS,Calon Ma-TBRS,GPD2,2820
TBRS,Calon Ma-TBRS,GPR157,80045
TBRS,Calon Ma-TBRS,GPR25,2848
TBRS,Calon Ma-TBRS,GPR26,2849
TBRS,Calon Ma-TBRS,GPR34,2857
TBRS,Calon Ma-TBRS,GPR37,2861
TBRS,Calon Ma-TBRS,GPR84,53831
TBRS,Calon Ma-TBRS,GPRIN3,285513
TBRS,Calon Ma-TBRS,GPX3,2878
TBRS,Calon Ma-TBRS,GPX7,2882
TBRS,Calon Ma-TBRS,GRAMD1B,57476
TBRS,Calon Ma-TBRS,GRAMD4,23151
TBRS,Calon Ma-TBRS,GRAP2,9402
TBRS,Calon Ma-TBRS,GRB10,2887
TBRS,Calon Ma-TBRS,GRID1-AS1,100507470
TBRS,Calon Ma-TBRS,GSN,2934
TBRS,Calon Ma-TBRS,GTSE1-AS1,150384
TBRS,Calon Ma-TBRS,GUCA1A,2978
TBRS,Calon Ma-TBRS,GULP1,51454
TBRS,Calon Ma-TBRS,GVQW1,101362076
TBRS,Calon Ma-TBRS,H2AFY2,55506
TBRS,Calon Ma-TBRS,HAL,3034
TBRS,Calon Ma-TBRS,HAMP,57817
TBRS,Calon Ma-TBRS,HAPLN1,1404
TBRS,Calon Ma-TBRS,HCFC1R1,54985
TBRS,Calon Ma-TBRS,HDGFRP3,50810
TBRS,Calon Ma-TBRS,HEATR9,256957
TBRS,Calon Ma-TBRS,HECW1,23072
TBRS,Calon Ma-TBRS,HES1,3280
TBRS,Calon Ma-TBRS,HES5,388585
TBRS,Calon Ma-TBRS,HHIP-AS1,646576
TBRS,Calon Ma-TBRS,HIPK2,28996
TBRS,Calon Ma-TBRS,HIVEP3,59269
TBRS,Calon Ma-TBRS,HMGB3,3149
TBRS,Calon Ma-TBRS,HN1,51155
TBRS,Calon Ma-TBRS,HNF4A,3172
TBRS,Calon Ma-TBRS,HOXA3,3200
TBRS,Calon Ma-TBRS,HOXB8,3218
TBRS,Calon Ma-TBRS,HOXC10,3226
TBRS,Calon Ma-TBRS,HP,3240
TBRS,Calon Ma-TBRS,HPGD,3248
TBRS,Calon Ma-TBRS,HPS4,89781
TBRS,Calon Ma-TBRS,HRG,3273
TBRS,Calon Ma-TBRS,HRK,8739
TBRS,Calon Ma-TBRS,HS3ST5,222537
TBRS,Calon Ma-TBRS,HS6ST3,266722
TBRS,Calon Ma-TBRS,HSD11B2,3291
TBRS,Calon Ma-TBRS,HSFY1,86614
TBRS,Calon Ma-TBRS,HSPG2,3339
TBRS,Calon Ma-TBRS,HTRA1,5654
TBRS,Calon Ma-TBRS,HTRA4,203100
TBRS,Calon Ma-TBRS,ICK,22858
TBRS,Calon Ma-TBRS,ICOSLG,23308
TBRS,Calon Ma-TBRS,ID1,3397
TBRS,Calon Ma-TBRS,ID2,3398
TBRS,Calon Ma-TBRS,ID2B,84099
TBRS,Calon Ma-TBRS,ID3,3399
TBRS,Calon Ma-TBRS,IER5L,389792
TBRS,Calon Ma-TBRS,IFIT2,3433
TBRS,Calon Ma-TBRS,IFIT3,3437
TBRS,Calon Ma-TBRS,IFNLR1,163702
TBRS,Calon Ma-TBRS,IGF2BP1,10642
TBRS,Calon Ma-TBRS,IGFBP4,3487
TBRS,Calon Ma-TBRS,IGKC,3514
TBRS,Calon Ma-TBRS,IL17RB,55540
TBRS,Calon Ma-TBRS,IL18BP,10068
TBRS,Calon Ma-TBRS,IL18R1,8809
TBRS,Calon Ma-TBRS,IL18RAP,8807
TBRS,Calon Ma-TBRS,IL1A,3552
TBRS,Calon Ma-TBRS,IL1B,3553
TBRS,Calon Ma-TBRS,IL1R2,7850
TBRS,Calon Ma-TBRS,IL1RAP,3556
TBRS,Calon Ma-TBRS,IL1RL1,9173
TBRS,Calon Ma-TBRS,IL3RA,3563
TBRS,Calon Ma-TBRS,IL4,3565
TBRS,Calon Ma-TBRS,IQCF3,401067
TBRS,Calon Ma-TBRS,IQCG,84223
TBRS,Calon Ma-TBRS,IQCH,64799
TBRS,Calon Ma-TBRS,IQGAP3,128239
TBRS,Calon Ma-TBRS,IRS1,3667
TBRS,Calon Ma-TBRS,ISM1,140862
TBRS,Calon Ma-TBRS,ITGA2,3673
TBRS,Calon Ma-TBRS,ITGA5,3678
TBRS,Calon Ma-TBRS,ITGA9,3680
TBRS,Calon Ma-TBRS,ITGB1BP1,9270
TBRS,Calon Ma-TBRS,ITGB3,3690
TBRS,Calon Ma-TBRS,IWS1,55677
TBRS,Calon Ma-TBRS,JADE1,79960
TBRS,Calon Ma-TBRS,JAG1,182
TBRS,Calon Ma-TBRS,KCNA2,3737
TBRS,Calon Ma-TBRS,KCNA3,3738
TBRS,Calon Ma-TBRS,KCNC3,3748
